GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
envio,cl.syst3m64.envio.exception,ServicioExternoNoDisponibleException,4,0,0,0,2,0,1,0,1,0
envio,cl.syst3m64.envio.exception,GlobalExceptionHandler,64,0,0,0,11,0,7,0,7,0
envio,cl.syst3m64.envio.exception,RecursoNoEncontradoException,4,0,0,0,2,0,1,0,1,0
envio,cl.syst3m64.envio.controller,EnvioController,30,0,0,0,7,0,3,0,3,0
envio,cl.syst3m64.envio.config,DataInitializer,41,0,2,0,11,0,3,0,2,0
envio,cl.syst3m64.envio,EnvioApplication,8,0,0,0,3,0,2,0,2,0
envio,cl.syst3m64.envio.service.impl,EnvioServiceImpl,81,109,4,6,16,28,5,4,1,3
